Model,K,mP,mR,mAP
efficientnet_b0,5,0.2032786885245902,0.5163934426229508,0.47759562841530045
efficientnet_b0,10,0.12295081967213116,0.6229508196721312,0.481827348425709
efficientnet_b0,20,0.07131147540983604,0.7213114754098361,0.47857832389629573
convnext_tiny,5,0.19344262295081965,0.4918032786885246,0.49562841530054647
convnext_tiny,10,0.11475409836065574,0.5819672131147541,0.4807311995836586
convnext_tiny,20,0.06967213114754096,0.7049180327868853,0.4612453642468107
fashion_clip,5,0.26229508196721313,0.6639344262295082,0.6027322404371585
fashion_clip,10,0.14426229508196717,0.7295081967213115,0.5992648972157169
fashion_clip,20,0.08196721311475406,0.8278688524590164,0.5860829583467
dino_vit_s16,5,0.19016393442622953,0.48360655737704916,0.4461748633879781
dino_vit_s16,10,0.11475409836065573,0.5819672131147541,0.44581056466302366
dino_vit_s16,20,0.06885245901639343,0.6967213114754098,0.4432071554514837
