Model,K,mP,mR,mAP
efficientnet_b0,5,0,0,0
efficientnet_b0,10,0,0,0
efficientnet_b0,20,0,0,0
convnext_tiny,5,0,0,0
convnext_tiny,10,0,0,0
convnext_tiny,20,0,0,0
fashion_clip,5,0,0,0
fashion_clip,10,0,0,0
fashion_clip,20,0,0,0
dino_vit_s16,5,0,0,0
dino_vit_s16,10,0,0,0
dino_vit_s16,20,0,0,0
