Model,K,mP,mR,mAP
mobilenet_v3,5,0.14516129032258066,0.3709677419354839,0.393010752688172
mobilenet_v3,10,0.0967741935483871,0.49193548387096775,0.3800051203277009
mobilenet_v3,20,0.06290322580645161,0.6370967741935484,0.37347358260546115
efficientnet_b0,5,0.16774193548387095,0.4274193548387097,0.4174731182795699
efficientnet_b0,10,0.11129032258064517,0.5645161290322581,0.4171626984126984
efficientnet_b0,20,0.0661290322580645,0.6693548387096774,0.4191140177027274
clip_vit_b16,5,0.1774193548387097,0.45161290322580644,0.46478494623655914
clip_vit_b16,10,0.11290322580645161,0.5725806451612904,0.47131976446492574
clip_vit_b16,20,0.07177419354838707,0.7258064516129032,0.44191474801400643
dino_vit_s16,5,0.18064516129032257,0.4596774193548387,0.46411290322580645
dino_vit_s16,10,0.11774193548387098,0.5967741935483871,0.458650153609831
dino_vit_s16,20,0.06774193548387096,0.6854838709677419,0.4476064159244774
