Model,K,mP,mR,mAP
efficientnet_b0,5,0.306,0.326,0.5724166666666667
efficientnet_b0,10,0.21000000000000005,0.44183333333333336,0.5208631613756614
efficientnet_b0,20,0.13450000000000004,0.5660000000000001,0.47810746348737837
convnext_tiny,5,0.302,0.3165,0.5060833333333333
convnext_tiny,10,0.21800000000000005,0.45400000000000007,0.48697089947089944
convnext_tiny,20,0.1345,0.5565,0.47225991768379527
fashion_clip,5,0.426,0.4535,0.6810555555555555
fashion_clip,10,0.274,0.5768333333333333,0.6500498015873015
fashion_clip,20,0.1655,0.6926666666666667,0.6060182905387239
dino_vit_s16,5,0.32,0.3370000000000001,0.5692499999999999
dino_vit_s16,10,0.20800000000000005,0.4348333333333334,0.5440601190476191
dino_vit_s16,20,0.135,0.5658333333333334,0.5041383521442152
